gene_name,gene_id_x,transcript_id,gene_id_y,exon_coverage,CDS_coverage,MIM Entry Type (see FAQ 1.3 at https://omim.org/help/faq),Ensembl Gene ID (Ensembl),MIM Number,Preferred Title; symbol,Alternative Title(s); symbol(s),Included Title(s); symbols,Phenotype,Gene Symbols_x,# Chromosome,Gene Symbols_y,Gene Name,Entrez Gene ID,Ensembl Gene ID,Phenotypes,start,end
TRNP1,ENSG00000253368,ENST00000522111,ENSG00000253368,0.371534371,0.882809939,gene,ENSG00000253368,616824.0,TMF1-REGULATED NUCLEAR PROTEIN 1; TRNP1,TMF-REGULATED NUCLEAR PROTEIN; TRNP,,,,chr1,TRNP1,TMF1-regulated nuclear protein 1,388610.0,ENSG00000253368,,27320198.0,27327389.0
SPACA5B,ENSG00000171478,ENST00000304270,ENSG00000171478,0.962261852,0.967418995,,,,,,,,,,,,,,,47990039.0,47991995.0
SRSF10,ENSG00000188529,ENST00000492112,ENSG00000188529,1.031301882,0.977763885,gene,ENSG00000188529,605221.0,"SPLICING FACTOR, SERINE/ARGININE-RICH, 10; SRSF10","SERINE/ARGININE-RICH SPLICING FACTOR 10;; FUS-INTERACTING PROTEIN 1; FUSIP1;; TLS-ASSOCIATED PROTEIN WITH SERINE-ARGININE REPEATS; TASR;; SPLICING FACTOR, ARGININE/SERINE-RICH, 38-KD; SRp38;; SR REPRESSOR PROTEIN, 40-KD; SRRp40;; NEURAL-SALIENT SR-RICH PROTEIN; NSSR;; SPLICING FACTOR, ARGININE/SERINE-RICH, 13A; SFRS13A","TLS-ASSOCIATED PROTEIN WITH SERINE-ARGININE REPEATS, ISOFORM 1, INCLUDED; TASR1, INCLUDED;; TLS-ASSOCIATED PROTEIN WITH SERINE-ARGININE REPEATS, ISOFORM 2, INCLUDED; TASR2, INCLUDED",,,chr1,"SRSF10, FUSIP1, TASR, TASR1, TASR2","Splicine factor, serine/arginine-rich, 10",10772.0,ENSG00000188529,,24296854.0,24306809.0
ANKRD20A3,ENSG00000132498,ENST00000254835,ENSG00000132498,0.957447731,0.980645423,,,,,,,,,,,,,,,43089972.0,43133544.0
MAGED4,ENSG00000154545,ENST00000375626,ENSG00000154545,1.171783198,1.306705892,gene,ENSG00000154545,300702.0,"MELANOMA ANTIGEN, FAMILY D, 4; MAGED4",MAGEE1;; KIAA1859,,,,chrX,"MAGED4, MAGEE1, KIAA1859","Melanoma antigen, family D, 4",728239.0,ENSG00000154545,,51928008.0,51935364.0
POTEB,ENSG00000233917,ENST00000439682,ENSG00000233917,1.242855741,1.421753732,gene,ENSG00000233917,608912.0,"POTE ANKYRIN DOMAIN FAMILY, MEMBER B; POTEB","PROSTATE-, OVARY-, TESTIS-, AND PLACENTA-EXPRESSED GENE ON CHROMOSOME 15; POTE15",,,,chr15,"POTEB, POTE15","POTE ankyrin domain family, member B",100996331.0,ENSG00000233917,,22051853.0,22082822.0
PTPN20A,ENSG00000204179,ENST00000374339,ENSG00000204179,1.485316198,1.486159646,,,,,,,,,,,,,,,46551654.0,46620012.0
ZNF705D,ENSG00000215343,ENST00000400085,ENSG00000215343,0.384324748,1.502214601,,,,,,,,,,,,,,,11961898.0,11973025.0
FKSG52,ENSG00000224838,ENST00000412930,ENSG00000224838,1.5247832,1.521134946,,,,,,,,,,,,,,,59726565.0,59726939.0
KM-PA-2,ENSG00000204775,ENST00000377412,ENSG00000204775,1.538945792,1.546402519,,,,,,,,,,,,,,,145317003.0,145331153.0
AC104057.1,ENSG00000269558,ENST00000593865,ENSG00000269558,1.005514382,1.554123509,,,,,,,,,,,,,,,65112081.0,65113280.0
PGA4,ENSG00000229183,ENST00000378149,ENSG00000229183,1.158250284,1.624023105,gene,ENSG00000229183,169720.0,"PEPSINOGEN 4, GROUP I; PGA4",,,,,chr11,PGA4,Pepsinogen A4,643847.0,ENSG00000229183,,60989688.0,60999399.0
AL353698.1,ENSG00000233889,ENST00000433279,ENSG00000233889,0.368322591,1.760549733,,,,,,,,,,,,,,,56100757.0,56102014.0
NPIPA2,ENSG00000254852,ENST00000553201,ENSG00000254852,1.789114009,1.793382542,,,,,,,,,,,,,,,14844670.0,14859270.0
PRAMEF3,ENSG00000204503,ENST00000376173,ENSG00000204503,1.787184518,1.821137026,,,,,,,,,,,,,,,13328196.0,13331692.0
NPIPB5,ENSG00000243716,ENST00000424340,ENSG00000243716,1.15441495,1.878292344,,,,,,,,,,,,,,,22524844.0,22547826.0
AGAP4,ENSG00000188234,ENST00000448048,ENSG00000188234,1.326812645,1.890888701,,,,,,,,,,,,,,,46321042.0,46342921.0
AMY1B,ENSG00000174876,ENST00000330330,ENSG00000174876,1.631112074,1.944683195,gene,ENSG00000174876,104701.0,"AMYLASE, SALIVARY, B; AMY1B",,,,,chr1,AMY1B,"Amylase, salivary, alpha-1B",277.0,ENSG00000174876,,104230040.0,104238912.0
DEFB105B,ENSG00000186599,ENST00000335510,ENSG00000186599,1.873453503,1.971944003,,,,,,,,,,,,,,,7345191.0,7347115.0
DUX4L4,ENSG00000258834,ENST00000538692,ENSG00000258834,1.925720716,1.97382995,,,,,,,,,,,,,,,191001979.0,191003583.0
NPIPA7,ENSG00000214967,ENST00000530217,ENSG00000214967,2.201268596,1.999214061,,,,,,,,,,,,,,,16472912.0,16487811.0
SPDYE2B,ENSG00000173678,ENST00000507450,ENSG00000173678,1.804847268,2.00726033,,,,,,,,,,,,,,,102290772.0,102301606.0
NBPF11,ENSG00000152042,ENST00000605317,ENSG00000152042,1.118918296,2.021738387,gene,ENSG00000263956,614001.0,"NEUROBLASTOMA BREAKPOINT FAMILY, MEMBER 11; NBPF11",,,,,chr1,NBPF11,"Neuroblastoma breakpoint family, member 11",200030.0,ENSG00000263956,,146034239.0,146082633.0
NPIPA8,ENSG00000214940,ENST00000525596,ENSG00000214940,1.448404476,2.034548221,,,,,,,,,,,,,,,18411799.0,18430593.0
PLGLB2,ENSG00000125551,ENST00000359481,ENSG00000125551,1.56618603,2.048961638,,,,,,,,,,,,,,,88047606.0,88057152.0
MBD3L4,ENSG00000205718,ENST00000381394,ENSG00000205718,1.643682318,2.067674285,,,,,,,,,,,,,,,7037759.0,7040190.0
NPIPB9,ENSG00000196993,ENST00000550983,ENSG00000196993,1.205594392,2.067953794,,,,,,,,,,,,,,,28763108.0,28784128.0
NBPF16,ENSG00000203827,ENST00000417839,ENSG00000203827,1.618955847,2.072574604,,,,,,,,,,,,,,,148739443.0,148758311.0
ANKRD20A2,ENSG00000183148,ENST00000377601,ENSG00000183148,1.135411749,2.112453839,,,,,,,,,,,,,,,42368303.0,42411410.0
PNRC2,ENSG00000189266,ENST00000334351,ENSG00000189266,0.81109701,2.288808339,gene,ENSG00000189266,611882.0,PROLINE-RICH NUCLEAR RECEPTOR COACTIVATOR 2; PNRC2,,,,,chr1,PNRC2,Proline-rich nuclear receptor coactivator 2,55629.0,ENSG00000189266,,24286302.0,24289952.0
NBPF24,ENSG00000203836,ENST00000369228,ENSG00000203836,2.439136672,2.323942154,,,,,,,,,,,,,,,147575937.0,147599549.0
TBC1D3B,ENSG00000224226,ENST00000454519,ENSG00000224226,2.020185324,2.330863902,gene,ENSG00000274808,610144.0,"TBC1 DOMAIN FAMILY, MEMBER 3B; TBC1D3B",PROSTATE CANCER GENE 17; PRC17,,,,chr17,"TBC1D3B, PRC17","TBC1 domain family, member 3B",414059.0,ENSG00000274808,,34493061.0,34503988.0
F8A1,ENSG00000197932,ENST00000369446,ENSG00000197932,6.130909372,2.356396866,gene,ENSG00000288722,305423.0,COAGULATION FACTOR VIII-ASSOCIATED PROTEIN 1; F8A1,FACTOR VIII-ASSOCIATED PROTEIN 1; F8A;; DXS522E;; HAP40,,,,chrX,"F8A1, DXS522E, HAP40",Coagulation factor VIII associated 1,8263.0,ENSG00000288722,,154114635.0,154116335.0
GAGE13,ENSG00000237597,ENST00000381751,ENSG00000237597,1.913570851,2.395273039,gene,ENSG00000274274,300734.0,G ANTIGEN 13; GAGE13,,,,,chrX,GAGE13,G antigen 13,645051.0,ENSG00000274274,,49188094.0,49195366.0
RGPD2,ENSG00000185304,ENST00000398146,ENSG00000185304,2.185997147,2.455039979,gene,ENSG00000185304,612705.0,RANBP2-LIKE AND GRIP DOMAIN-CONTAINING PROTEIN 2; RGPD2,RGP2,,,,chr2,"RGPD2, RGP2",RANBP2-like and GRIP domain-containing protein 2,729857.0,ENSG00000185304,,88055474.0,88125471.0
DEFB107B,ENSG00000198129,ENST00000355602,ENSG00000198129,1.865884459,2.478193214,,,,,,,,,,,,,,,7353368.0,7366833.0
SPACA5,ENSG00000171489,ENST00000304355,ENSG00000171489,2.196690303,2.493441815,gene,ENSG00000171489,300593.0,SPERM ACROSOME-ASSOCIATED PROTEIN 5; SPACA5,LOC389852,,,,chrX,"SPACA5, LOC389852",Sperm acrosome associated 5,389852.0,ENSG00000171489,,47863734.0,47869126.0
AGAP8,ENSG00000174194,ENST00000425119,ENSG00000174194,1.575284893,2.525914642,,,,,,,,,,,,,,,51224688.0,51246535.0
RPS17,ENSG00000184779,ENST00000330339,ENSG00000184779,1.855241182,2.592142093,gene,ENSG00000182774,180472.0,RIBOSOMAL PROTEIN S17; RPS17,,"RIBOSOMAL PROTEIN S17a-LIKE 1, INCLUDED; RPS17L1, INCLUDED;; RIBOSOMAL PROTEIN S17a, INCLUDED; RPS17A, INCLUDED;; RIBOSOMAL PROTEIN S17b-LIKE 2, INCLUDED; RPS17L2, INCLUDED;; RIBOSOMAL PROTEIN S17b, INCLUDED; RPS17B, INCLUDED","Diamond-Blackfan anemia 4, 612527 (3)","RPS17, RPS17L1, RPS17L2, DBA4",chr15,"RPS17, RPS17L1, RPS17L2, DBA4",Ribosomal protein S17,6218.0,ENSG00000182774,"Diamond-Blackfan anemia 4, 612527 (3), Autosomal dominant",82821158.0,82824972.0
BHLHA9,ENSG00000205899,ENST00000391429,ENSG00000205899,2.074926398,2.610755108,gene,ENSG00000205899,615416.0,"BASIC HELIX-LOOP-HELIX FAMILY, MEMBER A9; BHLHA9","BASIC HELIX-LOOP-HELIX FACTOR, CLASS F, 42; BHLHF42;; FINGERIN",,"?Camptosynpolydactyly, complex, 607539 (3)","BHLHA9, BHLHF42, MSSD, CCSPD",chr17,"BHLHA9, BHLHF42, MSSD, CCSPD","Basic helix-loop-helix family, member A9",727857.0,ENSG00000205899,"?Camptosynpolydactyly, complex, 607539 (3), Autosomal recessive; Syndactyly, mesoaxial synostotic, with phalangeal reduction, 609432 (3), Autosomal recessive",1173853.0,1174754.0
POTEB2,ENSG00000230031,ENST00000454856,ENSG00000230031,2.649557154,2.699262967,,,,,,,,,,,,,,,21040701.0,21071643.0
RIMBP3B,ENSG00000196934,ENST00000434111,ENSG00000196934,2.356207336,2.770545984,gene,ENSG00000274600,612700.0,RIMS-BINDING PROTEIN 3B; RIMBP3B,RIMBP3.2,,,,chr22,RIMBP3B,RIMS-binding protein 3B,440804.0,ENSG00000274600,,21737663.0,21743446.0
RGPD1,ENSG00000187627,ENST00000559485,ENSG00000187627,2.550871999,2.772439116,gene,ENSG00000187627,612704.0,RANBP2-LIKE AND GRIP DOMAIN-CONTAINING PROTEIN 1; RGPD1,RGP1,,,,chr2,"RGPD1, RGP1",RANBP2-like and GRIP domain-containing protein 1,400966.0,ENSG00000187627,,87144738.0,87241104.0
GOLGA8G,ENSG00000183629,ENST00000525590,ENSG00000183629,2.493286681,2.795471455,,,,,,,,,,,,,,,28767719.0,28778117.0
RP13-996F3.5,ENSG00000215749,ENST00000559949,ENSG00000215749,2.90184591,2.838084896,,,,,,,,,,,,,,,82932454.0,82939157.0
ZBED3,ENSG00000132846,ENST00000255198,ENSG00000132846,2.457882017,2.899531617,gene,ENSG00000132846,615250.0,ZINC FINGER BED DOMAIN-CONTAINING PROTEIN 3; ZBED3,,,,,chr5,ZBED3,Zinc finger BED domain-containing protein 3,84327.0,ENSG00000132846,,76367897.0,76383148.0
SPDYE2,ENSG00000205238,ENST00000507918,ENSG00000205238,2.842280875,2.940579062,gene,ENSG00000205238,617624.0,"SPEEDY/RINGO CELL CYCLE REGULATOR FAMILY, MEMBER E2; SPDYE2",SPEEDY B2-LIKE 1; SPDYB2L1,,,,chr7,"SPDYE2, SPDYB2L1","Speedy/RINGO cell cycle regulator family, member E2",441273.0,ENSG00000205238,,102191679.0,102202516.0
PABPC1L2A,ENSG00000186288,ENST00000373519,ENSG00000186288,1.445565468,2.944823967,,,,,,,,,,,,,,,72297115.0,72299351.0
MTRNR2L13,ENSG00000270394,ENST00000604093,ENSG00000270394,0.419518073,2.954208333,,,,,,,,,,,,,,,117220016.0,117221520.0
SPATA31A1,ENSG00000204849,ENST00000377647,ENSG00000204849,2.13551003,2.957759838,,,,,,,,,,,,,,,39355699.0,39361956.0
HRK,ENSG00000135116,ENST00000257572,ENSG00000135116,0.432990179,3.052803894,gene,ENSG00000135116,603447.0,HARAKIRI; HRK,BCL2-INTERACTING PROTEIN;; DP5,,,,chr12,"HRK, DP5",Harakiri,8739.0,ENSG00000135116,,117293949.0,117319246.0
GAGE2C,ENSG00000236249,ENST00000381708,ENSG00000236249,2.441736574,3.058059059,gene,,300595.0,G ANTIGEN 2C; GAGE2C,GAGE2,,,,chrX,"GAGE2C, GAGE2",G antigen 2C,2574.0,,,49226182.0,49233481.0
PLGLB1,ENSG00000183281,ENST00000355705,ENSG00000183281,2.496664349,3.067259434,gene,ENSG00000183281,173340.0,PLASMINOGEN-LIKE B1; PLGLB1,PLASMINOGEN-RELATED GENE B; PRGB,,,,chr2,"PLGLB1, PLGL, PRGB",Plasminogen-like B1,5343.0,ENSG00000183281,,87239435.0,87248975.0
GAGE12H,ENSG00000224902,ENST00000381722,ENSG00000224902,2.5136106,3.142191005,gene,ENSG00000224902,300732.0,G ANTIGEN 12H; GAGE12H,,,,,chrX,GAGE12H,G antigen 12H,729442.0,ENSG00000224902,,49344586.0,49351904.0
EIF3CL,ENSG00000205609,ENST00000398943,ENSG00000205609,3.19012446,3.193445477,,,,,,,,,,,,,,,28390905.0,28415165.0
AC139426.2,ENSG00000233812,ENST00000435655,ENSG00000233812,1.867202917,3.23360071,,,,,,,,,,,,,,,32694108.0,32695493.0
FAM229A,ENSG00000225828,ENST00000432622,ENSG00000225828,2.641158541,3.236362668,,,,,,,,,,,,,,,32826871.0,32827844.0
SPATA31A3,ENSG00000147926,ENST00000356699,ENSG00000147926,5.386175561,3.320850209,,,,,,,,,,,,,,,40700291.0,40706537.0
RP11-15E18.4,ENSG00000267772,ENST00000592917,ENSG00000267772,2.025939138,3.37205985,,,,,,,,,,,,,,,58641908.0,58663984.0
PABPC1L2B,ENSG00000184388,ENST00000373521,ENSG00000184388,1.507945454,3.432177667,,,,,,,,,,,,,,,72223352.0,72225551.0
GAGE2D,ENSG00000240257,ENST00000404720,ENSG00000240257,2.784326583,3.435209378,gene,,300735.0,G ANTIGEN 2D; GAGE2D,,,,,chrX,GAGE2D,G antigen 2D,729408.0,,,49207160.0,49214420.0
NPIPB3,ENSG00000169246,ENST00000458643,ENSG00000169246,2.987088188,3.463906434,gene,,619984.0,"NUCLEAR PORE COMPLEX-INTERACTING PROTEIN FAMILY, MEMBER B3; NPIPB3",KIAA0220-LIKE PROTEIN; KIAA0220L,,,,chr16,"NPIPB3, KIAA0220L","Nuclear pore complex-interacting protein family, member B3",23117.0,,,21413605.0,21431078.0
hsa-mir-150,ENSG00000268000,ENST00000602157,ENSG00000268000,5.509263161,3.506608797,,,,,,,,,,,,,,,50003781.0,50004614.0
AMY1A,ENSG00000237763,ENST00000370083,ENSG00000237763,2.279559624,3.538557109,gene,ENSG00000237763,104700.0,"AMYLASE, SALIVARY, A; AMY1A","AMYLASE, SALIVARY; AMY1",,,,chr1,AMY1A,"Amylase, salivary, alpha-1A",276.0,ENSG00000237763,,104198377.0,104207173.0
SSX4,ENSG00000204645,ENST00000376886,ENSG00000204645,2.813882976,3.550878891,gene,ENSG00000268009,300326.0,"SYNOVIAL SARCOMA, X BREAKPOINT 4; SSX4",,,,,chrX,SSX4,"Synovial sarcoma, X breakpoint 4",6759.0,ENSG00000268009,,48242863.0,48252785.0
ARL17B,ENSG00000228696,ENST00000450673,ENSG00000228696,2.56101605,3.551368826,,,,,,,,,,,,,,,44416763.0,44439130.0
MAGEA9B,ENSG00000123584,ENST00000243314,ENSG00000123584,0.856524298,3.721500608,gene,ENSG00000267978,300764.0,"MELANOMA ANTIGEN, FAMILY A, 9B; MAGEA9B",,,,,chrX,MAGEA9B,"Melanoma antigen, family A, 9B",728269.0,ENSG00000267978,,148663309.0,148669116.0
ZNF140,ENSG00000196387,ENST00000355557,ENSG00000196387,3.15558923,3.722419154,gene,ENSG00000196387,604082.0,ZINC FINGER PROTEIN 140; ZNF140,,,,,chr12,ZNF140,Zinc finger protein-140,7699.0,ENSG00000196387,,133656424.0,133684130.0
AGAP10,ENSG00000204172,ENST00000413193,ENSG00000204172,2.305053945,3.751569264,,,,,,,,,,,,,,,47191844.0,47239738.0
TBC1D3C,ENSG00000234972,ENST00000457979,ENSG00000234972,3.455627447,3.770795957,gene,ENSG00000278299,610806.0,"TBC1 DOMAIN FAMILY, MEMBER 3C; TBC1D3C",,,,,chr17,TBC1D3C,"TBC1 domain family, member 3C",414060.0,ENSG00000278299,,34581085.0,34592032.0
ANXA8L1,ENSG00000150165,ENST00000359178,ENSG00000150165,1.062758432,3.868814023,,,,,,,,,,,,,,,47157989.0,47174040.0
CBWD3,ENSG00000196873,ENST00000360171,ENSG00000196873,3.630126605,4.019638322,,,,,,,,,,,,,,,70856397.0,70914929.0
GATSL2,ENSG00000198750,ENST00000426327,ENSG00000198750,2.933355658,4.111161288,,,,,,,,,,,,,,,74807499.0,74867509.0
GOLGA8N,ENSG00000232653,ENST00000448387,ENSG00000232653,3.303854815,4.349598354,,,,,,,,,,,,,,,32885657.0,32896179.0
RP13-996F3.4,ENSG00000259243,ENST00000557886,ENSG00000259243,3.722046443,4.550861019,,,,,,,,,,,,,,,83011379.0,83018198.0
SFT2D3,ENSG00000173349,ENST00000310981,ENSG00000173349,1.145231133,4.629174419,,,,,,,,,,,,,,,128458597.0,128461385.0
TSPY1,ENSG00000258992,ENST00000451548,ENSG00000258992,4.27758618,4.758756172,gene,ENSG00000258992,480100.0,"TESTIS-SPECIFIC PROTEIN, Y-LINKED, 1; TSPY1",TSPY,,,,chrY,"TSPY1, TSPY","Testis-specific protein, Y-linked, 1",7258.0,ENSG00000258992,,9304564.0,9307357.0
SERF1B,ENSG00000205572,ENST00000380750,ENSG00000205572,1.469141393,4.762593402,,,,,,,,,,,,,,,69321096.0,69338940.0
AC127496.1,ENSG00000175911,ENST00000321930,ENSG00000175911,1.3320698,4.785193419,,,,,,,,,,,,,,,78977135.0,78978932.0
MRC1,ENSG00000120586,ENST00000239761,ENSG00000120586,4.92789703,4.792003906,gene,ENSG00000260314,153618.0,"MANNOSE RECEPTOR, C-TYPE, 1; MRC1",MACROPHAGE MANNOSE RECEPTOR; MMR; MR;; CD206,,,,chr10,"MRC1, MMR","Mannose receptor, C type 1",4360.0,ENSG00000260314,,18098352.0,18200091.0
AC097381.1,ENSG00000228919,ENST00000429019,ENSG00000228919,5.1053669,4.857559006,,,,,,,,,,,,,,,7940728.0,7942022.0
POTED,ENSG00000166351,ENST00000299443,ENSG00000166351,4.290539745,4.876164553,gene,ENSG00000166351,607549.0,"POTE ANKYRIN DOMAIN FAMILY, MEMBER D; POTED","ANKYRIN REPEAT DOMAIN-CONTAINING PROTEIN 21; ANKRD21;; PROSTATE-, OVARY-, TESTIS-, AND PLACENTA-EXPRESSED GENE; POTE;; PROSTATE-, OVARY-, TESTIS-, AND PLACENTA-EXPRESSED GENE ON CHROMOSOME 21; POTE21",,,,chr21,"POTED, ANKRD21, POTE","POTE ankyrin domain family, member D",317754.0,ENSG00000166351,,14982498.0,15013906.0
TMEM88B,ENSG00000205116,ENST00000378821,ENSG00000205116,4.922143351,4.920911741,,,,,,,,,,,,,,,1361508.0,1363167.0
AL109927.1,ENSG00000268552,ENST00000601459,ENSG00000268552,5.074947368,5.001164881,,,,,,,,,,,,,,,28177085.0,28177255.0
USP17L18,ENSG00000250844,ENST00000504209,ENSG00000250844,5.016569272,5.024462006,,,,,,,,,,,,,,,9250356.0,9251948.0
PRR18,ENSG00000176381,ENST00000322583,ENSG00000176381,2.206227162,5.114676563,,,,,,,,,,,,,,,166719168.0,166721871.0
AC012493.2,ENSG00000269383,ENST00000595083,ENSG00000269383,5.144545545,5.168314,,,,,,,,,,,,,,,100986705.0,100987007.0
NXF2,ENSG00000185554,ENST00000395088,ENSG00000185554,3.17039974,5.206065428,gene,ENSG00000269405,300315.0,NUCLEAR RNA EXPORT FACTOR 2; NXF2,,,,,chrX,NXF2,Nuclear RNA export factor 2,56001.0,ENSG00000269405,,101470280.0,101581634.0
CITED4,ENSG00000179862,ENST00000372638,ENSG00000179862,2.452918101,5.253549746,gene,ENSG00000179862,606815.0,"CBP/P300-INTERACTING TRANSACTIVATOR, WITH GLU/ASP-RICH CARBOXY TERMINAL DOMAIN, 4; CITED4",TRANSCRIPTIONAL COACTIVATOR 4,,,,chr1,CITED4,"CBP/P300-interacting transactivator, with glu/asp-rich carboxy terminal domain, 4",163732.0,ENSG00000179862,,41326729.0,41328018.0
SMN2,ENSG00000205571,ENST00000380743,ENSG00000205571,3.84485069,5.325848698,gene,ENSG00000205571,601627.0,SURVIVAL OF MOTOR NEURON 2; SMN2,"SURVIVAL OF MOTOR NEURON, CENTROMERIC COPY; SMNC;; C-BCD541",,"{Spinal muscular atrophy, type III, modifier of}, 253400 (3)",SMN2,chr5,SMN2,"Survival of motor neuron 2, centromeric",6607.0,ENSG00000205571,"{Spinal muscular atrophy, type III, modifier of}, 253400 (3), Autosomal recessive",69345439.0,69373419.0
TPBGL,ENSG00000261594,ENST00000562197,ENSG00000261594,2.360558696,5.330577238,,,,,,,,,,,,,,,74951950.0,74954742.0
TCEB3CL,ENSG00000234298,ENST00000451265,ENSG00000234298,4.699525602,5.384934292,,,,,,,,,,,,,,,44548658.0,44550534.0
GOLGA8Q,ENSG00000178115,ENST00000562783,ENSG00000178115,5.088251415,5.408106032,,,,,,,,,,,,,,,30844281.0,30854704.0
GOLGA6L10,ENSG00000205281,ENST00000439287,ENSG00000205281,4.456191425,5.411985155,,,,,,,,,,,,,,,82635130.0,82641706.0
MMP23B,ENSG00000189409,ENST00000356026,ENSG00000189409,6.214004399,5.49066034,gene,ENSG00000189409,603321.0,MATRIX METALLOPROTEINASE 23B; MMP23B,"MATRIX METALLOPROTEINASE 22, FORMERLY; MMP22, FORMERLY",,,,chr1,"MMP23B, MMP22",Matrix metalloproteinase 23B,8510.0,ENSG00000189409,,1567474.0,1570030.0
FOXD4L6,ENSG00000204793,ENST00000377473,ENSG00000204793,2.708393563,5.540698529,,,,,,,,,,,,,,,69199480.0,69202204.0
GOLGA6L1,ENSG00000197414,ENST00000316397,ENSG00000197414,5.587811336,5.604640965,,,,,,,,,,,,,,,22736246.0,22746002.0
CCL3L3,ENSG00000256515,ENST00000378354,ENSG00000256515,3.914344249,5.609622676,gene,ENSG00000276085,609468.0,"CHEMOKINE, CC MOTIF, LIGAND 3-LIKE 3; CCL3L3",,,,,chr17,CCL3L3,"Chemokine, CC motif, ligand 3-like 3",414062.0,ENSG00000276085,,34522268.0,34524157.0
AP000974.1,ENSG00000215504,ENST00000544076,ENSG00000215504,1.502902597,5.624822896,,,,,,,,,,,,,,,85563600.0,85565986.0
